,165,148,DELTAVALLE S.A.S.,63.439,2%,-1.344,755,39.686,32.498,7.188,
,166,158,LLOREDA S.A.,62.954,8%,17.047,-13.825,295.720,183.179,112.540,
,167,125,INVERSIONES MANUELITA S.A.,62.587,-18%,24.290,29.793,1.195.240,51.727,1.143.513,
,168,114,ENERGÉTICOS SAS ESP,61.397,-32%,1.171,152,33.831,26.211,7.619,
,169,164,ETERNIT PACIFICO S.A.,61.262,8%,3.546,6.386,57.839,21.431,36.408,
,170,203,QUEST S.A.S.,61.082,34%,3.913,1.108,41.966,25.307,16.659,
,171,165,MORPHO CARDS DE COLOMBIA S.A.S.,60.587,7%,6.312,4.605,82.894,15.958,66.936,
,172,172,COMPUNET,60.505,9%,3.117,409,35.337,28.392,6.945,
,173,161,DISTRIBUIDORA SUPER 80 S.A.,60.284,5%,-113,164,29.634,13.933,15.701,
,174,472,CONSORCIO MORENO TAFUR S.A.,60.244,296%,20.065,17.035,40.912,19.306,21.605,
,175,153,QUICENO & CIA SCA,59.990,-1%,-328,564,8.520,3.752,4.767,
,176,106,IMPLEMENTOS MAQUINARIA Y EQUIPOS DE COLOMBIA SOCIEDAD ANONIMA,59.872,-37%,2.357,1.428,51.255,33.823,17.432,
,177,213,BLANCO Y NEGRO MASIVO S.A.,58.957,37%,-1.379,-2.955,177.533,171.340,6.193,
,178,162,ESTRUMETAL S.A.,58.569,2%,7.410,2.299,85.993,59.697,26.296,
,179,204,BSN MEDICAL LIMITADA,58.483,29%,4.004,1.874,60.279,29.690,30.589,
,180,187,FERRETERIA TUBOLAMINAS S.A.,58.333,19%,2.080,1.409,27.240,10.172,17.068,
,181,155,IMPORTADORA Y COMERCIALIZADORA GOVI S.A.,58.245,-2%,-779,39,10.391,8.699,1.692,
,182,186,ALIMENTOS DEL GALPON S.A.,58.074,18%,1.451,131,27.069,18.201,8.869,
,183,324,CEMENTOS SAN MARCOS S.A.,57.935,137%,16.207,6.146,129.889,75.676,54.213,
,184,170,COMERCIALIZADORA LLANTAS UNIDAS INTERNACIONAL S.A.S.,57.495,4%,2.416,-749,135.560,64.130,71.431,
,185,306,BUENAVISTA CONSTRUCTORA Y PROMOTORA S.A.,57.470,115%,3.207,2.456,66.950,62.382,4.568,
,186,192,SEGURIDAD DE OCCIDENTE LTDA,56.726,19%,2.182,719,16.668,9.571,7.097,
,187,179,SONOCO DE COLOMBIA LTDA,55.555,9%,7.766,5.142,98.243,41.860,56.383,
,188,92,LEASING CORFICOLOMBIANA S.A.,55.505,-50%,10.426,12.303,943.972,856.740,87.233,
,189,0,PROVEEDORA DE PAPELES ANDINA S.A.S.,55.475,6%,1.633,1.162,32.541,25.362,7.179,
,190,189,CLINICA VERSALLES S.A.,55.109,14%,3.010,1.654,34.318,23.680,10.638,
